epoch,train_loss,val_acc,val_macroF1,lr
1,0.941677,0.373307,0.181220,0.00049863
2,1.002046,0.398037,0.189808,0.00049454
3,1.267407,0.373307,0.181220,0.00048776
4,0.000000,0.373307,0.181220,0.00047839
5,0.000000,0.373307,0.181220,0.00046651
6,0.000000,0.373307,0.181220,0.00045225
7,0.000000,0.373307,0.181220,0.00043579
8,0.000000,0.373307,0.181220,0.00041728
