1757030400000000,110738.44000000,110787.99000000,110727.46000000,110787.99000000,2.00192000,1757030459999999,221734.96674660,455,0.87316000,96710.96737160,0
1757030460000000,110787.99000000,110802.00000000,110738.00000000,110738.00000000,2.66263000,1757030519999999,294919.11050380,360,0.46008000,50957.18991650,0
1757030520000000,110739.99000000,110811.13000000,110739.99000000,110811.13000000,1.14474000,1757030579999999,126814.26581820,415,0.64349000,71282.48734760,0
1757030580000000,110811.99000000,110822.00000000,110733.07000000,110733.08000000,3.82871000,1757030639999999,424107.69445390,263,0.17070000,18909.78284570,0
1757030640000000,110733.07000000,110799.99000000,110733.07000000,110786.00000000,1.75331000,1757030699999999,194200.08157790,395,1.31281000,145398.65543610,0
1757030700000000,110786.01000000,110799.99000000,110752.01000000,110752.01000000,1.22504000,1757030759999999,135709.74363560,368,0.03942000,4366.80805320,0
1757030760000000,110755.99000000,110782.50000000,110736.00000000,110736.00000000,2.66329000,1757030819999999,295003.95837050,409,1.94054000,214940.95565860,0
1757030820000000,110736.00000000,110736.00000000,110640.86000000,110640.86000000,2.94174000,1757030879999999,325583.40505810,496,0.98456000,108937.30849730,0
1757030880000000,110640.85000000,110642.00000000,110550.47000000,110604.00000000,3.04904000,1757030939999999,337221.65268600,1004,1.23647000,136729.74437230,0
1757030940000000,110606.00000000,110705.61000000,110606.00000000,110705.61000000,0.94794000,1757030999999999,104925.21959230,632,0.36468000,40358.68426970,0
1757031000000000,110705.60000000,110707.99000000,110668.00000000,110698.56000000,4.12544000,1757031059999999,456677.36904660,608,0.44539000,49299.43577980,0
1757031060000000,110699.99000000,110727.46000000,110594.00000000,110611.54000000,3.12933000,1757031119999999,346358.91292710,429,0.38357000,42436.56032990,0
1757031120000000,110611.60000000,110611.61000000,110580.00000000,110580.00000000,1.89411000,1757031179999999,209483.42679630,209,0.01323000,1463.17157080,0
1757031180000000,110580.00000000,110640.00000000,110562.00000000,110640.00000000,4.49152000,1757031239999999,496749.12624360,498,3.27842000,362566.31864830,0
1757031240000000,110639.99000000,110673.99000000,110639.99000000,110673.99000000,0.55220000,1757031299999999,61112.50120600,314,0.11993000,13271.68122550,0
1757031300000000,110670.48000000,110670.48000000,110607.14000000,110616.00000000,2.90788000,1757031359999999,321758.65456000,303,0.75231000,83247.08375800,0
1757031360000000,110616.48000000,110664.00000000,110616.48000000,110664.00000000,1.29806000,1757031419999999,143601.00558050,434,0.61572000,68115.03032130,0
1757031420000000,110667.99000000,110718.00000000,110667.99000000,110702.00000000,0.66614000,1757031479999999,73746.34660180,376,0.12728000,14088.72332900,0
1757031480000000,110700.00000000,110749.99000000,110688.00000000,110720.86000000,0.98492000,1757031539999999,109056.21943710,409,0.51853000,57409.41139840,0
1757031540000000,110720.86000000,110750.44000000,110694.00000000,110694.00000000,1.33889000,1757031599999999,148255.94419000,402,0.37428000,41448.84213110,0
1757031600000000,110694.00000000,110703.56000000,110641.50000000,110641.50000000,1.80508000,1757031659999999,199771.95759990,332,0.20092000,22240.97650670,0
1757031660000000,110641.50000000,110641.50000000,110602.00000000,110632.00000000,1.03758000,1757031719999999,114776.31857390,246,0.11866000,13124.55200310,0
1757031720000000,110632.01000000,110717.99000000,110632.01000000,110699.42000000,1.14732000,1757031779999999,127012.15743180,462,0.18414000,20380.25313020,0
1757031780000000,110699.43000000,110715.29000000,110689.87000000,110699.99000000,0.79550000,1757031839999999,88067.33147510,185,0.29151000,32270.67220510,0
1757031840000000,110699.99000000,110742.78000000,110699.99000000,110742.78000000,1.17864000,1757031899999999,130511.80986140,315,1.09728000,121502.77771110,0
1757031900000000,110742.78000000,110791.68000000,110742.78000000,110744.80000000,1.86490000,1757031959999999,206576.91854060,362,0.61647000,68284.39117880,0
1757031960000000,110742.91000000,110742.92000000,110706.00000000,110706.00000000,0.87897000,1757032019999999,97328.56574430,119,0.00975000,1079.72501500,0
1757032020000000,110706.00000000,110709.95000000,110702.00000000,110702.00000000,0.57104000,1757032079999999,63216.96285700,94,0.04105000,4544.51146730,0
1757032080000000,110702.00000000,110719.88000000,110702.00000000,110714.41000000,0.55910000,1757032139999999,61900.13446740,115,0.19365000,21439.20302280,0
1757032140000000,110714.41000000,110724.28000000,110714.40000000,110718.00000000,0.08533000,1757032199999999,9447.33166150,30,0.07763000,8594.77224510,0
1757032200000000,110718.00000000,110726.28000000,110718.00000000,110718.01000000,0.29142000,1757032259999999,32265.71741700,83,0.15565000,17233.51062090,0
1757032260000000,110718.00000000,110718.00000000,110702.00000000,110715.99000000,0.44605000,1757032319999999,49382.66974240,136,0.13200000,14613.31724560,0
1757032320000000,110715.99000000,110716.00000000,110671.30000000,110671.30000000,1.02967000,1757032379999999,113982.90997510,152,0.01862000,2061.36649380,0
1757032380000000,110671.30000000,110729.99000000,110663.63000000,110704.34000000,1.59722000,1757032439999999,176817.69099730,499,0.34436000,38117.16093630,0
1757032440000000,110702.00000000,110811.70000000,110702.00000000,110802.00000000,1.72821000,1757032499999999,191458.39790040,538,0.96544000,106939.05001700,0
1757032500000000,110800.00000000,110921.99000000,110795.35000000,110906.00000000,3.20771000,1757032559999999,355672.15592820,771,1.65079000,183004.93402420,0
1757032560000000,110906.01000000,110930.00000000,110868.00000000,110868.00000000,1.31317000,1757032619999999,145636.60762820,351,0.02814000,3121.21117520,0
1757032620000000,110868.00000000,110943.99000000,110868.00000000,110933.99000000,1.33926000,1757032679999999,148546.40405740,535,0.35726000,39617.00617660,0
