epoch,train_loss,val_acc,val_macroF1,lr
1,0.879685,0.405615,0.344165,0.00007479
2,0.653157,0.397250,0.363913,0.00007418
3,0.500117,0.391027,0.369585,0.00007316
4,0.450953,0.392801,0.370888,0.00007176
5,0.423900,0.385998,0.374272,0.00006998
6,0.404911,0.381676,0.367014,0.00006784
7,0.389787,0.390278,0.375793,0.00006537
8,0.377712,0.381888,0.370395,0.00006259
9,0.366581,0.372761,0.365854,0.00005954
10,0.356692,0.377248,0.368066,0.00005625
